803753021976911872,Donald Trump's Treasury secretary pick brings  and film financing experience to the job. 
803753023260463105,Donald trump gets impeached  #In2017IPredict
803753022908170246,".krauthammer: Trump put a large piece of cheese out there, &amp; if the left wants to go after him on burning of the f… "
803753022929018880," Dear Mr. TRUMP, please do not appoint Romney, Sec.of State. Remember the SNAKE SONG you always read us at your rallies!"
803753022840934401,I keep myself educated way more now then i ever did before now that sorry ass trump is our president..
803753023054888960,. of course you love Trump. He has zero moral integrity just like you. You cheater. Maya has told people about your problems. Sad.
803753023323471872,Editorial Donald Trump s folly on longsuffering Cuba  
803753023751225344,Sweet Jesus. 
803753024082608128,Trump suggests 'consequences' for any flag-burners 
803753023050682368,"From Goldman Sachs to 'Suicide Squad': Meet Steven Mnuchin, Donald Trump's pick for Treasury secretary… "
803753024090845184,Michael Medved keeps harping on the fact that Trump tweets!  He needs to hear from all of us that we enjoy his tweets &amp; want him to continue
803753024732758016,"Boom: 58% of financial advisers see strong economy, stocks under Trump  via "
803753024275423232,What about all the hate crime from the peaceful protests against trump's W (aka RIOTS) that have been going on sinc… 
803753025538031617,The Entire Internet Will Be Archived In Canada to Protect It From Trump 
803753025403617280,     Article is ridiculous. Blames Trump for events in Sweden in 2010.
803753025441382400,How so? 
803753026229940224,Jim Bakker: Hopefully Trump Will Usher In The End Times  #atheist #atheism
803753026309668864,"Yes USA, emphasize and make yourself (Trump) realize repeatedly- Earth is vital study subject for our own good. "
803753027224084480,"Rep. Tom Price, selected by Donald Trump for HHS Secretary, voted for the DARK Act to keep Americans in the dark about GMOs"
803753027114913793,wow did u kno every single thing Trump does is an advanced chess move! makes you think
803753027324801030,You got that right! We must protect him. They want want Trump dead. 
803753028687904768,Trump is a Malignant Narcissist – The Daily Baj #malignant #NarcissistPersonalityDisorder #unfit #Unhinged #asshole 
803753029111410688,Can’t say I disagree with Cuomo on this one. Even the most tepid criticism of Trump throws Scarborough into a ragin… 
803753029472288769,I swear Donald trump becomes president and mfs think they can step outta pocket 😒
803753030135021569," Wow, opening with criticism of Trump's tweets. No wonder NONE of you were out ahead of the Trump rally."
803753030743035905,   But if Trump folds..he better go crawl under rock w all the other vermin cuz he started somthn
803753031326113793,"YahooNews:ECONEWSN1 Donald Trump floats jail time, loss of citizenship as possible punishments for flag burning … "
803753031204384768, Trump's Treasury pick is going to drive the Alt-right Elders of Zion conspiracists around the bend
803753031611187200,WATCH: Trump supporter caught in racist Michael's rant previously berated… -  via 
803753030969683968,I AIN'T USIAN AND I ALSO SIGN 
803753031816708096,#SiriusXM Dan Rather on the responsibly of the press in 'the Trump era'. Read Blog:  $SIRI
803753031821094912,"""what swamp, I didn't see a swamp"" "
803753031942537218,Trump’s Pick for Health Secretary Is Total Nightmare Fuel  
803753032689139712,I added a video to a  playlist  Sanders on Trump: We Need to Think Every Day How to Mobilize People to
803753032630538240,How Trump's health secretary pick would replace Obamacare  
803753031644778496,"Trump turns to Obamacare critic to overhaul health system
 "
803753033452531714,"#TrumpTalksToHeadsOfState ""America's nuclear weapons are AMAZING so I'm sure the new Trump hotels in your country will be approved quickly"""
803753035210129408, . Nobody is doing anything that will actually protect us from Trump. He is not a legitimate PEOTUS.
803753035151224832,  The kind of president that Trump won't be.
803753035260432386,Good job America. 
803753036262809600,American businesses urge Trump not to sever Cuban ties 
803753037244301312,Phil Plait: Trump’s Plan to Eliminate NASA Climate Research Is Ill-Informed and Dangerous 
803753036992671744,#Setting4Success Newt Gingrich criticizes Trump for baseless tweet that 'millions of people' voted illegally #News #smallbusiness #entrepre…
803753037022035968,Supreme Court dispute over jailing immigrants takes on new import in Trump era (LA Times) 
803753037076439040,i cannot fucking do this 
803753037630013440,"I'm sure Melania will have a yuge welcome reception at the Tower, invite all those Trumpsters with their t-shirts,… "
803753038317899776,Phil Plait: Trump’s Plan to Eliminate NASA Climate Research Is Ill-Informed and Dangerous 
803753038305525760,How Trump's health secretary pick would replace Obamacare  
803753038724800512, why the follow Im far left of liberal and your pists are full of Trump if you think im an easy target for you to troll Im not
803753038963822593,This Convicted Fraudster Is Instigating Harassment of Trump Protesters on Facebook 
803753038686978048,if that dick head claims more states were fradulant ther'll be a need for a national recount unless we opt for a pl… 
803753039312158720,Phil Plait: Trump’s Plan to Eliminate NASA Climate Research Is Ill-Informed and Dangerous 
803753038921859072,What's the #Senate pro quo ? 
803753040016801793,"After Trump and Brexit, EU to launch defense research plan #world "
803753039458729984,All together now... and this is how you get trump 
803753039748284416,Why Globalism Hates Donald Trump  #Politik #Gesellschaft
803753040402464768,Phil Plait: Trump’s Plan to Eliminate NASA Climate Research Is Ill-Informed and Dangerous 
803753040796848128,"Trump taps Wall Street executive and Hollywood producer Steven Mnuchin for Treasury secretary, sources say (LA Tim… "
803753038846390272,Skeletrix ignores losing popular vote by over 2 million or the fact electoral college could vote for someone other… 
803753040939454464,Why  don't drop President-elect in favor of the New Emperor? What is an Empire State w/o an emperor… 
803753041493102592,Phil Plait: Trump’s Plan to Eliminate NASA Climate Research Is Ill-Informed and Dangerous 
803753041161756672,wake up trumpers! You're next! He doesn't give a crap about you. 
803753041782521856,"By picking Tom Price to lead HHS, Trump shows he’s absolutely serious about dismantling Obamacare - Vox "
803753042097164288,The American people have already torn the crown from his head. We want nothing to do with him. 
803753042583621632,Phil Plait: Trump’s Plan to Eliminate NASA Climate Research Is Ill-Informed and Dangerous 
803753042679955456,Ask Your Questions About Finance And The Economy Under Trump! - TPM (blog)  #economy
803753042885705728,"I can't read anymore about Trump the Tweeter today. My FB friendWendy Tien....has said it best. "" Christ, what a... "
803753042914881536,#Forex: Mnuchin Said to Be Trump Choice for Treasury in Key Cabinet Pick  
803753043573477376,Phil Plait: Trump’s Plan to Eliminate NASA Climate Research Is Ill-Informed and Dangerous 
803753044953313280, sounds like he's a good fit for the Trump administration
803753045091749888,"Trump: The Art of the Deal Donald J. Trump (Author), Tony Schwartz (Author) (1820) Buy new: $16.99 $9.45 89 used &amp;… "
803753045133697025,"Dear Trump, now that you have won... We expect you to honor your words. Please bring back our family members from USA. We have missed them."
803753045549006848,WHY IS TRUMP STILL IN CHARGE OF HIS TWITTER??
803753044643028993,Trump Picks 2  Woman to Fill Key  Roles in his Administration! Misoginistic?  
803753046593380352,Holy crap I love this guy. 
803753047864279040,"Before Trump, Hillary Clinton wanted flag burners sent to prison for a year  via "
803753047763488768,Common Core Opponents to Trump: ‘Drain the Swamp’ and ‘Pull the Plug’ on Education Pick Betsy DeVos - Breitbart 
803753048103325696,"You're Blue-collar AF prezzy yall

#MAGA "
803753048405217280, We are not sure--Trump is having dinner with petraeus and Romney tonight
803753049135190016,Been saying it all along. Trump IS the special interests. He's just cutting out the middleman. 
803753049030356993, DONALD J TRUMP BIGGER THAN RONALD REAGAN! BETTER THAN BUSH! STRONGER THAN OBAMA! FEARLESS
803753049449725952,"And don't get me started on this sleeze bag. He needs to put the bottle down, shower and shave. Use a very sharp ra… "
803753049655300096,"#Trump Lied, Made Fools of his worshippers😂 Now they'll starve &amp; suffer- Deserve every bit of the pain.

#MAGA… "
803753050397622272,How Trump's health secretary pick would replace Obamacare  
803753050384912384,Wow! The entitled right have lost their freaking minds.  
803753051106541568,"  NCSBE ""CONGRATS TO PRESIDENT TRUMP🚂🚋🚃🚋🚃🚋🚃‼️🎉🎂🎄👍"
803753051093770240,"Four people, including a baby, have died in a jail run by a potential Trump nominee  via "
803753051077099520,How Trump's health secretary pick would replace Obamacare  via ... the GOP rape of America
